customer_id,customer_name,gender,age,city,state,country,customer_segment,signup_date
C5000,Kabir Lad,Female,38,Arrah,Kerala,India,Corporate,19-08-2021
C5001,Drishya Kakar,Male,19,Bhiwani,Maharashtra,India,Wholesale,18-06-2025
C5002,Dhanush Iyer,Male,61,Nashik,Odisha,India,Retail,05-07-2024
C5003,,Female,54,Bokaro,West Bengal,India,Retail,22-01-2025
C5004,Heer Kale,Male,51,Raebareli,Himachal Pradesh,India,Wholesale,05-01-2024
C5005,Rasha Sundaram,Male,62,Tezpur,Bihar,India,Wholesale,01-01-2021
C5006,,Male,46,Bidar,Uttar Pradesh,India,Wholesale,24-04-2023
C5007,Badal Kala,Male,60,Berhampore,Karnataka,India,Corporate,30-05-2024
C5008,Jayesh Deep,Male,130,Haridwar,Uttar Pradesh,India,Corporate,19-08-2021
C5009,Heer Sanghvi,Female,58,Ahmedabad,Himachal Pradesh,India,Retail,23-05-2025
C5010,Purab Sha,Female,28,Srinagar,Goa,India,Corporate,13-12-2025
C5011,Kabir Jaggi,Male,20,Lucknow,Manipur,India,Wholesale,25-03-2022
C5012,Ritvik Zacharia,Male,49,Hindupur,Tamil Nadu,India,Wholesale,29-10-2023
C5013,Vanya Lad,Female,51,Dewas,Nagaland,India,Corporate,03-07-2021
C5014,Indrans Shroff,Female,26,Kalyan-Dombivli,Odisha,India,Wholesale,26-09-2025
C5015,Ojas Sami,Female,460,Parbhani,Jharkhand,India,Wholesale,11-02-2025
C5016,,Male,52,Bhalswa Jahangir Pur,Sikkim,India,Wholesale,09-02-2022
C5017,Hunar Batra,Male,26,Berhampore,Manipur,India,Corporate,22-05-2023
C5018,Divyansh Dhingra,Female,21,Bidar,Odisha,India,Retail,19-12-2022
C5019,Anvi Cheema,Female,24,Panchkula,Maharashtra,India,Wholesale,19-02-2022
C5020,Drishya Konda,Male,44,Bokaro,Andhra Pradesh,India,Wholesale,23-03-2024
C5021,Tushar Balasubramanian,Female,26,Karnal,Tamil Nadu,India,Retail,12-08-2021
C5022,Nakul Dua,Female,34,Ghaziabad,Telangana,India,Retail,29-09-2023
C5023,Ojas Karpe,Male,32,Patiala,Punjab,India,Retail,23-05-2023
C5024,Drishya Deol,Female,34,Akola,Sikkim,India,Wholesale,24-07-2021
C5025,Prerak Bumb,Female,47,Ballia,Goa,India,Corporate,01-08-2022
C5026,Vedika Ramesh,Female,43,Bulandshahr,Gujarat,India,Corporate,13-11-2025
C5027,Indranil Bal,Male,48,Udupi,Haryana,India,Corporate,09-10-2022
C5028,Shray Bhatti,Female,20,Berhampore,Tamil Nadu,India,Wholesale,20-02-2025
C5029,,Female,39,Bidar,Tripura,India,Retail,28-07-2021
C5030,Anya Sachdeva,Female,29,Khandwa,Odisha,India,Wholesale,27-07-2021
C5031,Suhana Sankaran,Male,55,Gandhidham,Tripura,India,Corporate,04-05-2022
C5032,Ishaan Tata,Female,27,Kollam,Arunachal Pradesh,India,Wholesale,09-05-2021
C5033,Indrajit Thaker,Female,43,Jamnagar,Haryana,India,Wholesale,27-08-2022
C5034,Nitya Dugal,Male,52,Naihati,Tripura,India,Wholesale,25-07-2022
C5035,Shayak Bhatt,Female,44,Akola,Punjab,India,Wholesale,09-07-2021
C5036,Aayush Issac,Male,51,Shimla,Arunachal Pradesh,India,Wholesale,04-12-2022
C5037,Shaan Kannan,Female,44,Pallavaram,Manipur,India,Wholesale,07-11-2023
C5038,Mamooty Balan,Female,18,Haridwar,Manipur,India,Wholesale,16-10-2023
C5039,Ranbir Ben,Female,31,Avadi,Haryana,India,Retail,18-06-2025
C5040,Alisha Bhat,Male,64,Kavali,Andhra Pradesh,India,Corporate,28-12-2022
C5041,Ivana Chadha,Female,62,Srikakulam,West Bengal,India,Corporate,12-12-2021
C5042,Aarna Dhingra,Male,59,Nangloi Jat,Sikkim,India,Retail,25-12-2022
C5043,Damini Mangat,Female,61,Jamalpur,Mizoram,India,Retail,30-08-2025
